Province,Municipality,Barangay,2020 Population,brgy_code
National Capital Region,Pasay City,Barangay 61,2.503,PH137605061
National Capital Region,Pasay City,Barangay 62,1.228,PH137605062
National Capital Region,Pasay City,Barangay 63,0.679,PH137605063
National Capital Region,Pasay City,Barangay 64,1.582,PH137605064
National Capital Region,Pasay City,Barangay 65,2.932,PH137605065
National Capital Region,Pasay City,Barangay 66,2.797,PH137605066
National Capital Region,Pasay City,Barangay 67,1.104,PH137605067
National Capital Region,Pasay City,Barangay 68,0.852,PH137605068
National Capital Region,Pasay City,Barangay 69,1.153,PH137605069
National Capital Region,Pasay City,Barangay 70,2.199,PH137605070
National Capital Region,Pasay City,Barangay 71,0.685,PH137605071
National Capital Region,Pasay City,Barangay 72,1.423,PH137605072
National Capital Region,Pasay City,Barangay 73,0.699,PH137605073
National Capital Region,Pasay City,Barangay 74,0.46,PH137605074
National Capital Region,Pasay City,Barangay 75,1.326,PH137605075
National Capital Region,Pasay City,Barangay 76,19.604,PH137605076
National Capital Region,Pasay City,Barangay 77,1.107,PH137605077
National Capital Region,Pasay City,Barangay 78,0.494,PH137605078
National Capital Region,Pasay City,Barangay 79,0.677,PH137605079
National Capital Region,Pasay City,Barangay 80,1.208,PH137605080
National Capital Region,Pasay City,Barangay 81,2.129,PH137605081
National Capital Region,Pasay City,Barangay 82,0.554,PH137605082
National Capital Region,Pasay City,Barangay 83,0.794,PH137605083
National Capital Region,Pasay City,Barangay 84,0.719,PH137605084
National Capital Region,Pasay City,Barangay 85,1.285,PH137605085
National Capital Region,Pasay City,Barangay 86,1.389,PH137605086
National Capital Region,Pasay City,Barangay 87,0.633,PH137605087
National Capital Region,Pasay City,Barangay 88,0.958,PH137605088
National Capital Region,Pasay City,Barangay 89,1.003,PH137605089
National Capital Region,Pasay City,Barangay 90,1.615,PH137605090
National Capital Region,Pasay City,Barangay 91,1.881,PH137605091
National Capital Region,Pasay City,Barangay 92,0.469,PH137605092
National Capital Region,Pasay City,Barangay 93,0.382,PH137605093
National Capital Region,Pasay City,Barangay 94,2.375,PH137605094
National Capital Region,Pasay City,Barangay 95,1.132,PH137605095
National Capital Region,Pasay City,Barangay 96,0.826,PH137605096
National Capital Region,Pasay City,Barangay 97,1.361,PH137605097
National Capital Region,Pasay City,Barangay 98,1.487,PH137605098
National Capital Region,Pasay City,Barangay 99,1.111,PH137605099
National Capital Region,Pasay City,Barangay 100,1.223,PH137605100
National Capital Region,Pasay City,Barangay 101,0.55,PH137605101
National Capital Region,Pasay City,Barangay 102,0.826,PH137605102
National Capital Region,Pasay City,Barangay 103,0.949,PH137605103
National Capital Region,Pasay City,Barangay 104,1.127,PH137605104
National Capital Region,Pasay City,Barangay 105,0.567,PH137605105
National Capital Region,Pasay City,Barangay 106,1.158,PH137605106
National Capital Region,Pasay City,Barangay 107,1.561,PH137605107
National Capital Region,Pasay City,Barangay 108,2.07,PH137605108
National Capital Region,Pasay City,Barangay 109,1.122,PH137605109
National Capital Region,Pasay City,Barangay 110,1.827,PH137605110
National Capital Region,Pasay City,Barangay 111,1.279,PH137605111
National Capital Region,Pasay City,Barangay 112,0.64,PH137605112
National Capital Region,Pasay City,Barangay 113,1.8,PH137605113
National Capital Region,Pasay City,Barangay 114,1.05,PH137605114
National Capital Region,Pasay City,Barangay 115,1.24,PH137605115
National Capital Region,Pasay City,Barangay 116,1.205,PH137605116
National Capital Region,Pasay City,Barangay 117,0.935,PH137605117
National Capital Region,Pasay City,Barangay 118,1.634,PH137605118
National Capital Region,Pasay City,Barangay 119,1.622,PH137605119
National Capital Region,Pasay City,Barangay 120,0.332,PH137605120
National Capital Region,Pasay City,Barangay 121,1.007,PH137605121
National Capital Region,Pasay City,Barangay 122,1.184,PH137605122
National Capital Region,Pasay City,Barangay 123,1.284,PH137605123
National Capital Region,Pasay City,Barangay 124,1.666,PH137605124
National Capital Region,Pasay City,Barangay 125,1.508,PH137605125
National Capital Region,Pasay City,Barangay 126,0.725,PH137605126
National Capital Region,Pasay City,Barangay 127,1.799,PH137605127
National Capital Region,Pasay City,Barangay 128,1.634,PH137605128
National Capital Region,Pasay City,Barangay 129,1.209,PH137605129
National Capital Region,Pasay City,Barangay 130,4.042,PH137605130
National Capital Region,Pasay City,Barangay 131,1.427,PH137605131
National Capital Region,Pasay City,Barangay 132,5.088,PH137605132
National Capital Region,Pasay City,Barangay 133,2.221,PH137605133
National Capital Region,Pasay City,Barangay 134,1.686,PH137605134
National Capital Region,Pasay City,Barangay 135,2.768,PH137605135
National Capital Region,Pasay City,Barangay 136,2.167,PH137605136
National Capital Region,Pasay City,Barangay 137,2.994,PH137605137
National Capital Region,Pasay City,Barangay 138,1.031,PH137605138
National Capital Region,Pasay City,Barangay 139,1.065,PH137605139
National Capital Region,Pasay City,Barangay 140,0.59,PH137605140
National Capital Region,Pasay City,Barangay 141,0.465,PH137605141
National Capital Region,Pasay City,Barangay 142,0.318,PH137605142
National Capital Region,Pasay City,Barangay 143,1.39,PH137605143
National Capital Region,Pasay City,Barangay 144,2.212,PH137605144
National Capital Region,Pasay City,Barangay 145,8.758,PH137605145
National Capital Region,Pasay City,Barangay 146,1.036,PH137605146
National Capital Region,Pasay City,Barangay 147,1.459,PH137605147
National Capital Region,Pasay City,Barangay 148,3.164,PH137605148
National Capital Region,Pasay City,Barangay 149,0.768,PH137605149
National Capital Region,Pasay City,Barangay 150,0.662,PH137605150
National Capital Region,Pasay City,Barangay 151,1.175,PH137605151
National Capital Region,Pasay City,Barangay 152,1.219,PH137605152
National Capital Region,Pasay City,Barangay 153,1.367,PH137605153
National Capital Region,Pasay City,Barangay 154,0.743,PH137605154
National Capital Region,Pasay City,Barangay 155,0.916,PH137605155
National Capital Region,Pasay City,Barangay 156,3.54,PH137605156
National Capital Region,Pasay City,Barangay 157,2.242,PH137605157
National Capital Region,Pasay City,Barangay 158,0.961,PH137605158
National Capital Region,Pasay City,Barangay 159,1.301,PH137605159
National Capital Region,Pasay City,Barangay 160,1.245,PH137605160
National Capital Region,Pasay City,Barangay 161,2.834,PH137605161
National Capital Region,Pasay City,Barangay 162,1.898,PH137605162
National Capital Region,Pasay City,Barangay 163,1.467,PH137605163
National Capital Region,Pasay City,Barangay 164,1.749,PH137605164
National Capital Region,Pasay City,Barangay 165,5.472,PH137605165
National Capital Region,Pasay City,Barangay 166,1.19,PH137605166
National Capital Region,Pasay City,Barangay 167,0.755,PH137605167
National Capital Region,Pasay City,Barangay 168,0.521,PH137605168
National Capital Region,Pasay City,Barangay 169,2.825,PH137605169
National Capital Region,Pasay City,Barangay 170,1.571,PH137605170
National Capital Region,Pasay City,Barangay 171,3.39,PH137605171
National Capital Region,Pasay City,Barangay 172,4.919,PH137605172
National Capital Region,Pasay City,Barangay 173,1.814,PH137605173
National Capital Region,Pasay City,Barangay 174,1.826,PH137605174
National Capital Region,Pasay City,Barangay 175,1.952,PH137605175
National Capital Region,Pasay City,Barangay 176,1.617,PH137605176
National Capital Region,Pasay City,Barangay 177,6.235,PH137605177
National Capital Region,Pasay City,Barangay 178,3.889,PH137605178
National Capital Region,Pasay City,Barangay 179,6.692,PH137605179
National Capital Region,Pasay City,Barangay 180,2.059,PH137605180
National Capital Region,Pasay City,Barangay 181,1.883,PH137605181
National Capital Region,Pasay City,Barangay 182,2.906,PH137605182
National Capital Region,Pasay City,Barangay 183,37.372,PH137605183
National Capital Region,Pasay City,Barangay 184,14.209,PH137605184
National Capital Region,Pasay City,Barangay 185,4.639,PH137605185
National Capital Region,Pasay City,Barangay 186,3.45,PH137605186
National Capital Region,Pasay City,Barangay 187,4.629,PH137605187
National Capital Region,Pasay City,Barangay 188,2.094,PH137605188
National Capital Region,Pasay City,Barangay 189,2.431,PH137605189
National Capital Region,Pasay City,Barangay 190,4.336,PH137605190
National Capital Region,Pasay City,Barangay 191,3.406,PH137605191
National Capital Region,Pasay City,Barangay 192,4.217,PH137605192
National Capital Region,Pasay City,Barangay 193,7.43,PH137605193
National Capital Region,Pasay City,Barangay 194,4.523,PH137605194
National Capital Region,Pasay City,Barangay 195,2.449,PH137605195
National Capital Region,Pasay City,Barangay 196,1.499,PH137605196
National Capital Region,Pasay City,Barangay 197,3.854,PH137605197
National Capital Region,Pasay City,Barangay 198,1.904,PH137605198
National Capital Region,Pasay City,Barangay 199,2.044,PH137605199
National Capital Region,Pasay City,Barangay 200,0.594,PH137605200
National Capital Region,Pasay City,Barangay 201,19.788,PH137605201
National Capital Region,Pateros,Aguho,7.322,PH137606001
National Capital Region,Pateros,Magtanggol,1.388,PH137606002
National Capital Region,Pateros,Martires Del 96,5.027,PH137606003
National Capital Region,Pateros,Poblacion,2.0,PH137606004
National Capital Region,Pateros,San Pedro,2.218,PH137606005
National Capital Region,Pateros,San Roque,4.749,PH137606006
National Capital Region,Pateros,Santa Ana,29.68,PH137606007
National Capital Region,Pateros,Santo Rosario-Kanluran,5.345,PH137606008
National Capital Region,Pateros,Santo Rosario-Silangan,4.693,PH137606009
National Capital Region,Pateros,Tabacalera,2.805,PH137606010
National Capital Region,City Of Taguig,Tanyag (Bagong Tanyag),23.719,PH137607001
National Capital Region,City Of Taguig,Bagumbayan,49.319,PH137607002
National Capital Region,City Of Taguig,Bambang,13.949,PH137607003
National Capital Region,City Of Taguig,Calzada,28.66,PH137607004
National Capital Region,City Of Taguig,Hagonoy,21.693,PH137607005
National Capital Region,City Of Taguig,Ibayo-Tipas,25.808,PH137607006
National Capital Region,City Of Taguig,Ligid-Tipas,10.361,PH137607007
National Capital Region,City Of Taguig,Lower Bicutan,60.376,PH137607008
National Capital Region,City Of Taguig,Maharlika Village,23.47,PH137607009
National Capital Region,City Of Taguig,Napindan,24.437,PH137607010
National Capital Region,City Of Taguig,Palingon,16.119,PH137607011
National Capital Region,City Of Taguig,Santa Ana,22.581,PH137607012
National Capital Region,City Of Taguig,Central Signal Village (Signal Village),44.126,PH137607013
National Capital Region,City Of Taguig,Tuktukan,11.614,PH137607014
National Capital Region,City Of Taguig,Upper Bicutan,44.592,PH137607015
National Capital Region,City Of Taguig,Ususan,53.956,PH137607016
National Capital Region,City Of Taguig,Wawa,14.35,PH137607017
National Capital Region,City Of Taguig,Western Bicutan,87.508,PH137607018
National Capital Region,City Of Taguig,Central Bicutan,33.851,PH137607019
National Capital Region,City Of Taguig,Fort Bonifacio,11.912,PH137607020
National Capital Region,City Of Taguig,Katuparan,27.228,PH137607021
National Capital Region,City Of Taguig,New Lower Bicutan,55.928,PH137607022
National Capital Region,City Of Taguig,North Daang Hari,13.673,PH137607023
National Capital Region,City Of Taguig,North Signal Village,34.634,PH137607024
National Capital Region,City Of Taguig,Pinagsama,56.835,PH137607025
National Capital Region,City Of Taguig,San Miguel,10.528,PH137607026
National Capital Region,City Of Taguig,South Daang Hari,22.448,PH137607027
National Capital Region,City Of Taguig,South Signal Village,43.047,PH137607028
Abra,Bangued,Agtangao,2.285,PH140101001
Abra,Bangued,Angad,2.788,PH140101002
Abra,Bangued,Bañacao,1.465,PH140101003
Abra,Bangued,Bangbangar,2.478,PH140101004
Abra,Bangued,Cabuloan,1.031,PH140101005
Abra,Bangued,Calaba,4.862,PH140101006
Abra,Bangued,Tablac (Calot),1.294,PH140101007
Abra,Bangued,Cosili West (Buaya),1.427,PH140101008
Abra,Bangued,Cosili East (Proper),0.981,PH140101009
Abra,Bangued,Dangdangla,2.07,PH140101010
Abra,Bangued,Lingtan,1.007,PH140101011
Abra,Bangued,Lipcan,2.152,PH140101012
Abra,Bangued,Lubong,0.901,PH140101013
Abra,Bangued,Macarcarmay,0.75,PH140101014
Abra,Bangued,Maoay,0.733,PH140101015
Abra,Bangued,Macray,0.675,PH140101016
Abra,Bangued,Malita,0.404,PH140101017
Abra,Bangued,Palao,1.898,PH140101018
Abra,Bangued,Patucannay,1.526,PH140101019
Abra,Bangued,Sagap,0.797,PH140101020
Abra,Bangued,San Antonio,1.128,PH140101021
Abra,Bangued,Santa Rosa,2.296,PH140101022
Abra,Bangued,Sao-Atan,1.069,PH140101023
Abra,Bangued,Sappaac,1.324,PH140101024
Abra,Bangued,Zone 2 Pob. (Consiliman),1.144,PH140101025
Abra,Bangued,Zone 3 Pob. (Lalaud),1.566,PH140101026
Abra,Bangued,Zone 4 Pob. (Town Proper),0.885,PH140101027
Abra,Bangued,Zone 5 Pob. (Bo. Barikir),2.193,PH140101028
Abra,Bangued,Zone 6 Pob. (Sinapangan),1.853,PH140101029
Abra,Bangued,Zone 7 Pob. (Baliling),3.097,PH140101030
Abra,Bangued,Zone 1 Pob. (Nalasin),2.303,PH140101031
Abra,Boliney,Amti,0.459,PH140102001
Abra,Boliney,Bao-Yan,0.617,PH140102002
Abra,Boliney,Danac East,0.538,PH140102003
Abra,Boliney,Dao-Angan,0.446,PH140102004
Abra,Boliney,Dumagas,0.514,PH140102005
Abra,Boliney,Kilong-Olao,0.277,PH140102006
Abra,Boliney,Poblacion (Boliney),1.019,PH140102007
Abra,Boliney,Danac West,0.681,PH140102008
Abra,Bucay,Abang,0.766,PH140103001
Abra,Bucay,Bangbangcag,1.156,PH140103002
Abra,Bucay,Bangcagan,0.658,PH140103003
Abra,Bucay,Banglolao,0.59,PH140103004
Abra,Bucay,Bugbog,0.754,PH140103005
Abra,Bucay,Calao,0.79,PH140103006
Abra,Bucay,Dugong,1.628,PH140103007
Abra,Bucay,Labon,0.748,PH140103008
Abra,Bucay,Layugan,1.053,PH140103009
Abra,Bucay,Madalipay,0.376,PH140103010
Abra,Bucay,Pagala,1.184,PH140103011
Abra,Bucay,Palaquio,1.063,PH140103012
Abra,Bucay,Pakiling,0.799,PH140103013
Abra,Bucay,Patoc,0.671,PH140103014
Abra,Bucay,North Poblacion,1.175,PH140103016
Abra,Bucay,South Poblacion,0.623,PH140103017
Abra,Bucay,Quimloong,0.514,PH140103018
Abra,Bucay,Salnec,0.357,PH140103019
Abra,Bucay,San Miguel,0.874,PH140103020
Abra,Bucay,Siblong,1.036,PH140103021
Abra,Bucay,Tabiog,1.138,PH140103022
Abra,Bucloc,Ducligan,0.559,PH140104001
Abra,Bucloc,Labaan,0.644,PH140104002
Abra,Bucloc,Lingay,0.69,PH140104003
Abra,Bucloc,Lamao,0.502,PH140104004
Abra,Daguioman,Ableg,0.226,PH140105001
Abra,Daguioman,Cabaruyan,0.482,PH140105002
Abra,Daguioman,Pikek,0.379,PH140105003
Abra,Daguioman,Tui,0.932,PH140105004
Abra,Danglas,Abaquid,0.331,PH140106001
Abra,Danglas,Cabaruan,0.648,PH140106003
Abra,Danglas,Caupasan,1.189,PH140106004
Abra,Danglas,Danglas,0.396,PH140106005
Abra,Danglas,Nagaparan,0.827,PH140106006
Abra,Danglas,Padangitan,0.417,PH140106007
Abra,Danglas,Pangal,0.266,PH140106008
Abra,Dolores,Bayaan,0.507,PH140107001
Abra,Dolores,Cabaroan,0.522,PH140107002
Abra,Dolores,Calumbaya,0.514,PH140107003
Abra,Dolores,Cardona,0.574,PH140107004
Abra,Dolores,Isit,0.846,PH140107005
Abra,Dolores,Kimmalaba,0.856,PH140107006
Abra,Dolores,Libtec,0.771,PH140107007
Abra,Dolores,Lub-Lubba,0.323,PH140107008
Abra,Dolores,Mudiit,1.564,PH140107009
Abra,Dolores,Namit-Ingan,0.406,PH140107010
Abra,Dolores,Pacac,0.459,PH140107011
Abra,Dolores,Poblacion,2.105,PH140107012
Abra,Dolores,Salucag,0.394,PH140107013
Abra,Dolores,Talogtog,1.254,PH140107014
Abra,Dolores,Taping,0.417,PH140107015
Abra,La Paz,Benben (Bonbon),0.68,PH140108002
Abra,La Paz,Bulbulala,1.529,PH140108003
Abra,La Paz,Buli,1.642,PH140108004
Abra,La Paz,Canan (Gapan),1.532,PH140108005
Abra,La Paz,Liguis,1.029,PH140108006
Abra,La Paz,Malabbaga,1.43,PH140108007
Abra,La Paz,Mudeng,1.208,PH140108008
Abra,La Paz,Pidipid,0.81,PH140108009
Abra,La Paz,Poblacion,3.686,PH140108010
Abra,La Paz,San Gregorio,1.493,PH140108011
Abra,La Paz,Toon,0.896,PH140108012
Abra,La Paz,Udangan,0.558,PH140108013
Abra,Lacub,Bacag,0.277,PH140109001
Abra,Lacub,Buneg,0.865,PH140109002
Abra,Lacub,Guinguinabang,0.316,PH140109003
Abra,Lacub,Lan-Ag,0.44,PH140109004
Abra,Lacub,Pacoc,0.7,PH140109005
Abra,Lacub,Poblacion (Talampac),1.014,PH140109006
Abra,Lagangilang,Aguet,0.246,PH140110001
Abra,Lagangilang,Bacooc,0.44,PH140110002
Abra,Lagangilang,Balais,0.46,PH140110003
Abra,Lagangilang,Cayapa,0.896,PH140110004
Abra,Lagangilang,Dalaguisen,0.829,PH140110005
Abra,Lagangilang,Laang,0.652,PH140110006
Abra,Lagangilang,Lagben,0.377,PH140110007
Abra,Lagangilang,Laguiben,1.191,PH140110008
Abra,Lagangilang,Nagtipulan,1.488,PH140110009
Abra,Lagangilang,Nagtupacan,1.184,PH140110010
Abra,Lagangilang,Paganao,0.343,PH140110011
Abra,Lagangilang,Pawa,0.396,PH140110012
Abra,Lagangilang,Poblacion,1.369,PH140110013
Abra,Lagangilang,Presentar,0.842,PH140110014
Abra,Lagangilang,San Isidro,1.668,PH140110015
Abra,Lagangilang,Tagodtod,2.074,PH140110016
Abra,Lagangilang,Taping,0.459,PH140110017
Abra,Lagayan,Ba-I,0.731,PH140111002
Abra,Lagayan,Collago,1.058,PH140111004
Abra,Lagayan,Pang-Ot,0.325,PH140111005
Abra,Lagayan,Poblacion,1.343,PH140111006
Abra,Lagayan,Pulot,1.031,PH140111007
Abra,Langiden,Baac,0.368,PH140112001
Abra,Langiden,Dalayap (Nalaas),0.529,PH140112004
Abra,Langiden,Mabungtot,0.553,PH140112005
Abra,Langiden,Malapaao,0.834,PH140112006
Abra,Langiden,Poblacion,0.412,PH140112007
Abra,Langiden,Quillat,0.88,PH140112008
Abra,Licuan-Baay (Licuan),Bonglo (Patagui),0.261,PH140103012
Abra,Licuan-Baay (Licuan),Bulbulala,0.389,PH140103006
Abra,Licuan-Baay (Licuan),Cawayan,0.426,PH140103009
Abra,Licuan-Baay (Licuan),Domenglay,0.45,PH140103007
Abra,Licuan-Baay (Licuan),Lenneng,0.332,PH140103019
Abra,Licuan-Baay (Licuan),Mapisla,0.415,PH140103006
Abra,Licuan-Baay (Licuan),Mogao,0.265,PH140103004
Abra,Licuan-Baay (Licuan),Nalbuan,0.783,PH140103001
Abra,Licuan-Baay (Licuan),Poblacion,0.276,PH140103016
Abra,Licuan-Baay (Licuan),Subagan,0.615,PH140103003
Abra,Licuan-Baay (Licuan),Tumalip,0.354,PH140103010
Abra,Luba,Ampalioc,1.282,PH140114001
Abra,Luba,Barit,0.639,PH140114002
Abra,Luba,Gayaman,1.026,PH140114003
Abra,Luba,Lul-Luno,0.388,PH140114005
Abra,Luba,Luzong,0.913,PH140114006
Abra,Luba,Nagbukel-Tuquipa,0.552,PH140114007
Abra,Luba,Poblacion,1.119,PH140114008
Abra,Luba,Sabnangan,0.599,PH140114009
Abra,Luba,Malibcong,4.027,PH140114001
Abra,Luba,Bayabas,0.222,PH140114003
Abra,Luba,Binasaran,0.177,PH140114009
Abra,Luba,Buanao,0.345,PH140114009
Abra,Luba,Dulao,0.252,PH140114008
Abra,Luba,Duldulao,0.368,PH140114005
Abra,Luba,Gacab,0.506,PH140114003
Abra,Luba,Lat-Ey,0.22,PH140114007
Abra,Luba,Malibcong,0.571,PH140114001
Abra,Luba,Mataragan,0.585,PH140114009
Abra,Luba,Pacgued,0.288,PH140114007
Abra,Luba,Taripan,0.21,PH140114007
Abra,Luba,Umnap,0.283,PH140114005
Abra,Manabo,Catacdegan Viejo,0.465,PH140116002
Abra,Manabo,Luzong,1.116,PH140116003
Abra,Manabo,Ayyeng,1.748,PH140116004
Abra,Manabo,San Jose Norte,0.556,PH140116005
Abra,Manabo,San Jose Sur,0.563,PH140116006
Abra,Manabo,San Juan Norte,0.63,PH140116007
Abra,Manabo,San Juan Sur,0.717,PH140116008
Abra,Manabo,San Ramon East,2.843,PH140116011
Abra,Manabo,San Ramon West,1.878,PH140116012
Abra,Manabo,Santo Tomas,0.478,PH140116013
Abra,Manabo,Catacdegan Nuevo,0.617,PH140116014
Abra,Peñarrubia,Dumayco,1.179,PH140117001
Abra,Peñarrubia,Lusuac,1.121,PH140117002
Abra,Peñarrubia,Namarabar,0.675,PH140117003
Abra,Peñarrubia,Patiao,0.738,PH140117004
Abra,Peñarrubia,Malamsit (Pau-Malamsit),0.675,PH140117005
Abra,Peñarrubia,Poblacion,0.924,PH140117006
Abra,Peñarrubia,Riang (Tiang),0.793,PH140117007
Abra,Peñarrubia,Santa Rosa,0.375,PH140117008
Abra,Peñarrubia,Tattawa,0.471,PH140117009
Abra,Peñarrubia,Pidigan,12.475,PH140117004
Abra,Peñarrubia,Alinaya,1.015,PH140117008
Abra,Peñarrubia,Arab,0.479,PH140117003
Abra,Peñarrubia,Garreta,0.599,PH140117004
Abra,Peñarrubia,Immuli,0.674,PH140117005
Abra,Peñarrubia,Laskig,0.59,PH140117005
Abra,Peñarrubia,Naguirayan,0.703,PH140117003
Abra,Peñarrubia,Monggoc,1.202,PH140117007
Abra,Peñarrubia,Pamutic,0.596,PH140117004
Abra,Peñarrubia,Pangtud,1.391,PH140117007
Abra,Peñarrubia,Poblacion East,1.683,PH140117006
Abra,Peñarrubia,Poblacion West,1.169,PH140117006
Abra,Peñarrubia,San Diego,0.477,PH140117008
Abra,Peñarrubia,Sulbec,0.762,PH140117002
Abra,Peñarrubia,Suyo (Malidong),0.705,PH140117004
Abra,Peñarrubia,Yuyeng,0.43,PH140117001
Abra,Pilar,Bolbolo,0.919,PH140119002
Abra,Pilar,Brookside,0.422,PH140119003
Abra,Pilar,Ocup,0.551,PH140119004
Abra,Pilar,Dalit,0.727,PH140119005
Abra,Pilar,Dintan,0.362,PH140119006
Abra,Pilar,Gapang,0.642,PH140119007
Abra,Pilar,Kinabiti,0.83,PH140119008
Abra,Pilar,Maliplipit,0.304,PH140119009
Abra,Pilar,Nagcanasan,0.263,PH140119010
Abra,Pilar,Nanangduan,0.323,PH140119011
Abra,Pilar,Narnara,0.302,PH140119012
Abra,Pilar,Pang-Ot,0.591,PH140119014
Abra,Pilar,Patad,0.283,PH140119015
Abra,Pilar,Poblacion,1.668,PH140119016
Abra,Pilar,San Juan East,0.296,PH140119017
Abra,Pilar,San Juan West,0.658,PH140119018
Abra,Pilar,South Balioag,0.51,PH140119019
Abra,Pilar,Tikitik,0.294,PH140119020
Abra,Pilar,Villavieja,0.201,PH140119021
Abra,Pilar,Sallapadan,6.389,PH140119007
Abra,Pilar,Bazar,0.514,PH140119012
Abra,Pilar,Bilabila,0.591,PH140119021
Abra,Pilar,Gangal,0.866,PH140119007
Abra,Pilar,Maguyepyep,1.207,PH140119009
Abra,Pilar,Naguilian,0.719,PH140119011
Abra,Pilar,Saccaang,0.861,PH140119007
Abra,Pilar,Sallapadan,0.39,PH140119007
Abra,Pilar,Subusob,0.725,PH140119002
Abra,Pilar,Ud-Udiao,0.516,PH140119006
Abra,San Isidro,Cabayogan,0.342,PH140121001
Abra,San Isidro,Dalimag,0.683,PH140121002
Abra,San Isidro,Langbaban,0.398,PH140121003
Abra,San Isidro,Manayday,0.592,PH140121004
Abra,San Isidro,Pantoc,0.471,PH140121007
Abra,San Isidro,Poblacion,0.606,PH140121008
Abra,San Isidro,Sabtan-Olo,0.369,PH140121010
Abra,San Isidro,San Marcial,0.623,PH140121012
Abra,San Isidro,Tangbao,0.661,PH140121013
Abra,San Juan,Abualan,0.716,PH140122001
Abra,San Juan,Ba-Ug,1.21,PH140122002
Abra,San Juan,Badas,0.449,PH140122003
Abra,San Juan,Cabcaborao,1.047,PH140122004
Abra,San Juan,Colabaoan,0.273,PH140122005
Abra,San Juan,Culiong,0.437,PH140122006
Abra,San Juan,Daoidao,0.177,PH140122007
Abra,San Juan,Guimba,0.372,PH140122008
Abra,San Juan,Lam-Ag,0.607,PH140122009
Abra,San Juan,Lumobang,0.42,PH140122010
Abra,San Juan,Nangobongan,0.475,PH140122011
Abra,San Juan,Pattaoig,0.111,PH140122012
Abra,San Juan,Poblacion North,0.888,PH140122013
Abra,San Juan,Poblacion South,0.4,PH140122014
Abra,San Juan,Quidaoen,0.803,PH140122015
Abra,San Juan,Sabangan,0.372,PH140122016
Abra,San Juan,Silet,0.493,PH140122017
Abra,San Juan,Supi-Il,0.792,PH140122018
Abra,San Juan,Tagaytay,0.646,PH140122019
Abra,San Quintin,Labaan,1.031,PH140123001
Abra,San Quintin,Palang,0.58,PH140123002
Abra,San Quintin,Pantoc,0.712,PH140123003
Abra,San Quintin,Poblacion,0.807,PH140123004
Abra,San Quintin,Tangadan,1.552,PH140123005
Abra,San Quintin,Villa Mercedes,1.023,PH140123006
Abra,Tayum,Bagalay,1.026,PH140124001
Abra,Tayum,Basbasa,0.852,PH140124002
Abra,Tayum,Budac,1.387,PH140124003
Abra,Tayum,Bumagcat,0.83,PH140124004
Abra,Tayum,Cabaroan,1.365,PH140124005
Abra,Tayum,Deet,0.973,PH140124006
Abra,Tayum,Gaddani,1.573,PH140124007
Abra,Tayum,Patucannay,1.445,PH140124008
Abra,Tayum,Pias,1.169,PH140124009
Abra,Tayum,Poblacion,2.676,PH140124010
Abra,Tayum,Velasco,1.573,PH140124011
Abra,Tineg,Poblacion (Agsimao),0.712,PH140125001
Abra,Tineg,Alaoa,0.837,PH140125002
Abra,Tineg,Anayan,0.235,PH140125003
Abra,Tineg,Apao,0.274,PH140125004
Abra,Tineg,Belaat,0.243,PH140125005
Abra,Tineg,Caganayan,1.206,PH140125006
Abra,Tineg,Cogon,0.548,PH140125007
Abra,Tineg,Lanec,0.162,PH140125008
Abra,Tineg,Lapat-Balantay,0.395,PH140125009
Abra,Tineg,Naglibacan,0.365,PH140125010
Abra,Tubo,Alangtin,0.571,PH140126001
Abra,Tubo,Amtuagan,0.519,PH140126002
Abra,Tubo,Dilong,0.735,PH140126003
Abra,Tubo,Kili,0.431,PH140126004
Abra,Tubo,Poblacion (Mayabo),0.584,PH140126005
Abra,Tubo,Supo,0.779,PH140126006
Abra,Tubo,Tiempo,0.862,PH140126007
Abra,Tubo,Tubtuba,0.431,PH140126008
Abra,Tubo,Wayangan,0.478,PH140126009
Abra,Tubo,Tabacda,0.284,PH140126010
Abra,Villaviciosa,Ap-Apaya,0.542,PH140127001
Abra,Villaviciosa,Bol-Lilising,0.283,PH140127002
Abra,Villaviciosa,Cal-Lao,0.94,PH140127003
Abra,Villaviciosa,Lap-Lapog,0.916,PH140127004
Abra,Villaviciosa,Lumaba,0.558,PH140127005
Abra,Villaviciosa,Poblacion,0.897,PH140127006
Abra,Villaviciosa,Tamac,0.678,PH140127007
Abra,Villaviciosa,Tuquib,0.861,PH140127008
Apayao,Calanasan (Bayag),Butao,0.792,PH148101001
Apayao,Calanasan (Bayag),Cadaclan,0.94,PH148101002
Apayao,Calanasan (Bayag),Langnao,0.23,PH148101003
Apayao,Calanasan (Bayag),Lubong,0.51,PH148101004
Apayao,Calanasan (Bayag),Naguilian,0.381,PH148101005
Apayao,Calanasan (Bayag),Namaltugan,0.941,PH148101006
Apayao,Calanasan (Bayag),Poblacion,2.073,PH148101007
Apayao,Calanasan (Bayag),Sabangan,0.432,PH148101008
Apayao,Calanasan (Bayag),Santa Filomena,0.896,PH148101009
Apayao,Calanasan (Bayag),Tubongan,0.391,PH148101010
Apayao,Calanasan (Bayag),Tanglagan,1.991,PH148101011
Apayao,Calanasan (Bayag),Tubang,0.468,PH148101012
Apayao,Calanasan (Bayag),Don Roque Ablan Sr.,0.223,PH148101013
Apayao,Calanasan (Bayag),Eleazar,0.145,PH148101014
